dot_number,legal_name,dba_name,phone,email,physical_address,physical_city,physical_state,physical_zip,power_units,drivers,inspection_date,oos_total,vehicle_oos,driver_oos,total_violations,inspection_state,inspection_level,safer_link
2300105,RANDY LUOTO TRUCKING LLC,,,,13400 FIR CREST ROAD,CARLTON,OR,97111,,,20240710,1,1,0,3,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2300105
3998726,H2 TRUCKING LLC,,,,1102 S COMSTOCK AVE,SUTHERLIN,OR,97479-9403,,,20240710,1,1,0,2,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3998726
751415,MAIN ROCK PRODUCTS INC,,,,96521 KENTUCK WAY LANE,NORTH BEND,OR,97459,,,20240710,1,1,0,4,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=751415
667802,MOUNTAIN VIEW PAVING INC,,,,530 W VALLEY VIEW ROAD,TALENT,OR,97540,,,20240710,1,1,0,1,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=667802
588548,MILWAUKIE LUMBER COMPANY,,,,13113 NE FOURTH PLAIN RD,VANCOUVER,WA,98682-4934,,,20240711,1,1,0,3,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=588548
1419381,PER TRUCKING LLC,,,,23931 WARTHEN RD,ELMIRA,OR,97437,,,20240711,1,1,0,1,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1419381
969808,MIKE CURTIS INC,,,,226102 DONELSON RD,KENNEWICK,WA,99337,,,20240711,1,1,0,4,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=969808
2393001,COOS RIVER ROCK CO,,,,60547 S SUMNER RD,COOS BAY,OR,97420,,,20240711,3,3,0,16,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2393001
1618668,BELL CONSTRUCTION INC,,,,47333 SW CARPENTER CREEK RD,FOREST GROVE,OR,97116,,,20240712,1,1,0,1,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1618668
3047872,K LINE TRANSPORT INC,,,,6846 MARTIN WAY E,OLYMPIA,WA,98516,,,20240712,1,0,1,2,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3047872
3080174,AG SERVICES LLC,,,,1266 IVARSON RD,BURBANK,WA,99323,,,20240712,1,1,0,6,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3080174
1051929,BEAR HAULING INC,,,,116 Y STREET,VANCOUVER,WA,98661,,,20240712,1,1,0,5,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1051929
1246047,BUGGA TRUCKING INC,,,,12310 114 AVE,SURREY,BC,V3V 3N5,,,20240715,1,1,0,3,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1246047
271939,KNIFE RIVER CORPORATION - NORTHWEST,,,,32260 OLD HWY 34,TANGENT,OR,97389,,,20240716,1,1,0,1,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=271939
1717036,M R TANNER DEVELOPMENT AND CONSTRUCTION LLC,,,,1327 WEST SAN PEDRO STREET,GILBERT,AZ,85233,,,20240711,2,2,0,4,AZ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1717036
1473987,KELLY LUMBER SUPPLY INC,,,,1211 TUTUILLA RD,PENDLETON,OR,97801,,,20240717,1,1,0,3,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1473987
3019765,SDL CARRIERS INC,,,,22801 MINES ROAD,LAREDO,TX,78045,,,20240717,1,0,1,3,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3019765
1004080,NIJJAR TRUCKING LTD,,,,12829 116 AVENUE,SURREY,BC,V3R 2S5,,,20240715,1,1,0,3,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1004080
1109773,PETERSON MACHINERY CO,,,,5450 NE FIVE OAKS DR,HILLSBORO,OR,97124,,,20240718,1,1,0,3,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1109773
1456150,SPIRIT TRANSPORTATION LLC,,,,5932 SW FRANKLIN LN,MADRAS,OR,97741,,,20240718,1,1,0,1,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1456150
3667341,TOP ROCK CONSTRUCTION SERVICES LLC,,,,14430 SW BUSINESS CIRCLE RD,TERREBONNE,OR,97760,,,20240718,1,1,0,1,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3667341
2456730,ELITE TRANSCARGO INC,,,,4289 HYDRA CIRCLE,ROSEVILLE,CA,95747,,,20240718,1,1,0,2,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2456730
2254539,MONTANA TRANSPORT EXPRESS LLC,,,,2465 WEST COLUMBIA RD,MERIDIAN,ID,83642,,,20240718,1,1,0,1,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2254539
2577297,FIVE RIVER TRUCKING INC,,,,8949 COLUSA HWY,SUTTER,CA,95982,,,20240718,1,1,0,2,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2577297
599617,TEAM TRANSPORT INC,,,,32921 DIAMOND HILL DR,HARRISBURG,OR,97446,,,20240719,1,1,0,2,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=599617
1326050,DELUXE AUTO CARRIERS INC,,,,4788 BROOKHOLLOW CIRCLE,JURUPA VALLEY,CA,92509,,,20240721,1,1,0,1,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1326050
1331321,BDJ TRUCKING CO,,,,1425 PAYNE RD,SCHAUMBURG,IL,60173,,,20240720,1,1,0,2,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1331321
2158062,TRANS AMERICAN EXPRESS INC,,,,7777 DAVIE ROAD EXTENSION SUITE 300A,HOLLYWOOD,FL,33024,,,20240722,4,3,1,7,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2158062
179930,F V MARTIN TRUCKING CO,,,,2325 MERRY LANE,WHITE CITY,OR,97503,,,20240723,1,1,0,1,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=179930
2461328,JB HAWK TRANSPORT LLC,,,,33515 38TH AVE S,FEDERAL WAY,WA,98001,,,20240905,1,1,0,1,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2461328
2850267,SLAYDEN CONSTRUCTORS INC,,,,500 WILLAMETTE AVE,STAYTON,OR,97383-9420,,,20240905,1,1,0,1,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2850267
4193932,EMMONS TRUCKING & EXCAVATION LLC,,,,23760 LABARE RD,PHILOMATH,OR,97370,,,20240906,2,1,1,4,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4193932
628816,BEGGS CONSTRUCTION INC,,,,3630 KASHMIR WAY SE,SALEM,OR,97317,,,20240906,1,1,0,1,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=628816
512885,MORGAN INDUSTRIAL INC,,,,5602 NE HUFFMAN ST,HILLSBORO,OR,97124,,,20240906,2,2,0,3,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=512885
3435616,LITTLE GEORGE TRUCKING LLC,,,,31103 KLAUS RD,HERMISTON,OR,97838,,,20240906,1,1,0,1,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3435616
597535,GILL TRANSPORT INC,,,,5843  E  ERIN  AVE,FRESNO,CA,93727,,,20240906,1,1,0,5,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=597535
179930,F V MARTIN TRUCKING CO,,,,2325 MERRY LANE,WHITE CITY,OR,97503,,,20240909,2,2,0,2,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=179930
718199,STATON COMPANIES,,,,85386 HWY 99 S,EUGENE,OR,97405,,,20240909,1,1,0,6,OR,5,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=718199
373746,OREGON BEVERAGE RECYCLING COOPERATIVE,,,,17300 SE 120TH AVE,CLACKAMAS,OR,97015,,,20240909,1,1,0,1,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=373746
236285,SCHAEFFER BROTHERS TRUCKING INC,,,,67709 PROMISE RD,WALLOWA,OR,97885,,,20240909,2,2,0,5,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=236285
3970992,R L & L TRANSPORT LLC,,,,36729 SAND CREEK RD,SQUAW VALLEY,CA,93675-9629,,,20240909,2,2,0,10,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3970992
78021,FISCUS MOTOR FREIGHT INC,,,,1818 RIVERSIDE RD,YAKIMA,WA,98901,,,20240909,2,2,0,4,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=78021
1031346,ECO - PAN INC,,,,500 E 84TH AVE SUITE A-5,THORNTON,CO,80229,,,20240909,2,2,0,13,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1031346
1543578,NEW CENTURY TRANSPORT LLC,,,,1812 136TH AVE E,SUMNER,WA,98390,,,20240909,1,1,0,2,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1543578
2997237,TAL HOLDINGS LLC,,,,203 SE PARK PLAZA DR STE 250,VANCOUVER,WA,98684,,,20240909,2,2,0,7,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2997237
3479638,BAVARIA TRANSPORTATION INC,,,,13539 ARBORVIEW CIR,PLAINFIELD,IL,60585,,,20240909,1,1,0,2,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3479638
824637,SPECIALIZED PAVEMENT MARKING LLC,,,,11095 SW INDUSTRIAL WAY STE A,TUALATIN,OR,97062,,,20240909,1,1,0,2,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=824637
3035744,CROSS THE LINE TRANSPORTATION LLC,,,,2000 THOMAS LANE,POLSON,MT,59860,,,20240911,2,2,0,2,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3035744
2918156,BLUEBIRD FREIGHT LINES INC,,,,3865 RAILROAD AVE,YUBA CITY,CA,95991,,,20240911,1,1,0,1,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2918156
273293,RICK FRANKLIN CORPORATION,,,,101 INDUSTRIAL WAY,LEBANON,OR,97355,,,20240911,1,1,0,2,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=273293
4078773,BF LOGISTICS LLC,,,,54400 HUNTINGTON RD,BEND,OR,97707,,,20240911,2,2,0,6,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4078773
906973,HUNTER COMMUNICATIONS INC,,,,801 ENTERPRISE DR,CENTRAL POINT,OR,97502,,,20240911,1,1,0,3,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=906973
3633530,HUDSON TRUCKING LLC,,,,32268 S HIGHWAY 213,MOLALLA,OR,97038-9586,,,20240912,2,2,0,7,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3633530
4282589,FORWARD TRANSPORTATION LLC,,,,74637 USAGE LN,IRRIGON,OR,97844,,,20240912,1,1,0,4,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4282589
242009,ROADRUNNER TRANSPORTATION SERVICES INC,,,,9160 N 107TH,MILWAUKEE,WI,53224,,,20240912,1,1,0,1,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=242009
1552207,INDUSTRIAL SCRAP CORPORATION,,,,90925 PRAIRIE ROAD,EUGENE,OR,97402,,,20240912,5,5,0,21,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1552207
54283,SWIFT TRANSPORTATION CO OF ARIZONA LLC,,,,2200 S 75TH AVE,PHOENIX,AZ,85043,,,20240913,1,1,0,1,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=54283
2954006,GRABOWSKI PAVING LLC,,,,3481 HIGHWAY 234,WHITE CITY,OR,97503,,,20240913,2,2,0,5,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2954006
4282589,FORWARD TRANSPORTATION LLC,,,,74637 USAGE LN,IRRIGON,OR,97844,,,20240916,1,1,0,3,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4282589
3832324,IBA LOGISTIC INC,,,,7577 CENTRAL PARKE BLVD SUITE 132,MASON,OH,45040,,,20240916,1,1,0,1,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3832324
875756,HORNER ENTERPRISES INC,,,,27055 FERN RIDGE RD,SWEET HOME,OR,97386,,,20240916,2,2,0,7,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=875756
2789160,AUV TRANSPORT LLC,,,,32403 E PUNKIN CENTER RD,HERMISTON,OR,97838,,,20240917,1,1,0,2,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2789160
847012,LODESTAR TRANSPORT INC,,,,15966 - 100TH AVE,SURREY,BC,V4N 2B3,,,20240917,2,2,0,2,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=847012
243192,THE GREEN LINE ENTERPRISES INC,,,,29744 AWBREY LN STE A,EUGENE,OR,97402,,,20240909,1,1,0,2,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=243192
179930,F V MARTIN TRUCKING CO,,,,2325 MERRY LANE,WHITE CITY,OR,97503,,,20240913,1,1,0,2,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=179930
2820179,FREMONT TRANS INC,,,,5413 WALNUT AVE UNIT 1-G,DOWNERS GROVE,IL,60561,,,20240918,1,1,0,1,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2820179
1708768,KARS INC,,,,5350 SAND HOLLOW RD,NEW PLYMOUTH,ID,83655,,,20240915,1,1,0,2,TX,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1708768
2457309,SAMAX EXPRESS INC,,,,13710 IH 35 FRONTAGE RD,LAREDO,TX,78045,,,20240919,1,0,1,2,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2457309
1471900,MAKANA TRUCKING AND EXCAVATION INC,,,,34154 BENNETT RD,WARREN,OR,97053,,,20240919,1,1,0,4,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1471900
2541251,AVTOMEDON INC,,,,1389 HAZEL GREEN DRIVE,FRISCO,TX,75033,,,20240919,1,1,0,4,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2541251
4000427,LEMON TREE INC,,,,9111 BROADWAY SUITE 4,MERRILLVILLE,IN,46410,,,20240923,1,1,0,1,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4000427
712886,MOORE EXCAVATION INC,,,,5501 NE 223RD AVE,FAIRVIEW,OR,97024,,,20240923,2,2,0,2,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=712886
3224908,BOX OF ROCKS INCORPORATED,,,,590 WASHINGTON STREET WEST,VALE,OR,97918,,,20240923,2,2,0,4,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3224908
316144,LOY CLARK CONSTRUCTION CO,,,,19020A SW CIPOLE RD,TUALATIN,OR,97062,,,20240923,2,2,0,5,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=316144
2966078,INTERWEST TRANSPORT INC,,,,3301 BAKER WAY,LIVE OAK,CA,95953,,,20240923,1,0,1,4,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2966078
809478,ROGERS EXCAVATING INCORPORATED,,,,548 SE 2ND AVE,HILLSBORO,OR,97123,,,20240923,4,3,1,9,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=809478
2815759,CLARK MOORE TRUCKING INC,,,,24585 S BEAVERCREEK RD,BEAVERCREEK,OR,97004,,,20240924,1,1,0,4,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2815759
3809748,CRENA TRANSPORTATION SERVICES LLC,,,,21 E STATE ST SUITE 200,COLUMBUS,OH,43215,,,20240924,3,3,0,5,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3809748
2536068,RECYCLED ENERGY LLC,,,,1990 S COLE RD,BOISE,ID,83709,,,20240917,1,1,0,1,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2536068
2071848,CORYS TRUCKING LLC,,,,2601 H ST,WASHOUGAL,WA,98671,,,20240923,1,1,0,2,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2071848
793588,CLOUSER DRILLING INCORPORATED,,,,129 ASSEMBLY CIR,GRANTS PASS,OR,97526-8237,,,20240925,1,1,0,2,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=793588
3555124,MOUNTAIN TOP TRUCKING LLC,,,,202 NW OLIVE ST,SHERIDAN,OR,97378,,,20240925,2,2,0,2,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3555124
534184,WHITCO INC,,,,3705 22ND ST,LEWISTON,ID,83501,,,20240925,2,2,0,3,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=534184
